agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
USGS	14064500	00060	5	1935	1	878.4
USGS	14064500	00060	5	1935	2	903.7
USGS	14064500	00060	5	1935	3	911.2
USGS	14064500	00060	5	1935	4	1062
USGS	14064500	00060	5	1935	5	1321
USGS	14064500	00060	5	1935	6	1350
USGS	14064500	00060	5	1935	7	1545
USGS	14064500	00060	5	1935	8	1463
USGS	14064500	00060	5	1935	9	1232
USGS	14064500	00060	5	1935	10	1077
USGS	14064500	00060	5	1935	11	915.1
USGS	14064500	00060	5	1935	12	913.3
USGS	14064500	00060	5	1936	1	984.2
USGS	14064500	00060	5	1936	2	968.8
USGS	14064500	00060	5	1936	3	1097
USGS	14064500	00060	5	1936	4	1231
USGS	14064500	00060	5	1936	5	1516
USGS	14064500	00060	5	1936	6	1432
USGS	14064500	00060	5	1936	7	1604
USGS	14064500	00060	5	1936	8	1539
USGS	14064500	00060	5	1936	9	1230
USGS	14064500	00060	5	1936	10	1146
USGS	14064500	00060	5	1936	11	963.7
USGS	14064500	00060	5	1936	12	979.4
USGS	14064500	00060	5	1937	1	986.2
USGS	14064500	00060	5	1937	2	979.3
USGS	14064500	00060	5	1937	3	1056
USGS	14064500	00060	5	1937	4	1180
USGS	14064500	00060	5	1937	5	1350
USGS	14064500	00060	5	1937	6	1425
USGS	14064500	00060	5	1937	7	1578
USGS	14064500	00060	5	1937	8	1517
USGS	14064500	00060	5	1937	9	1210
USGS	14064500	00060	5	1937	10	1018
USGS	14064500	00060	5	1937	11	951.2
USGS	14064500	00060	5	1937	12	1025
USGS	14064500	00060	5	1938	1	1037
USGS	14064500	00060	5	1938	2	1180
USGS	14064500	00060	5	1938	3	1291
USGS	14064500	00060	5	1938	4	1411
USGS	14064500	00060	5	1938	5	1763
USGS	14064500	00060	5	1938	6	1594
USGS	14064500	00060	5	1938	7	1647
USGS	14064500	00060	5	1938	8	1671
USGS	14064500	00060	5	1938	9	1523
USGS	14064500	00060	5	1938	10	1367
USGS	14064500	00060	5	1938	11	1309
USGS	14064500	00060	5	1938	12	1064
USGS	14064500	00060	5	1939	1	1034
USGS	14064500	00060	5	1939	2	1032
USGS	14064500	00060	5	1939	3	1130
USGS	14064500	00060	5	1939	4	1286
USGS	14064500	00060	5	1939	5	1445
USGS	14064500	00060	5	1939	6	1504
USGS	14064500	00060	5	1939	7	1574
USGS	14064500	00060	5	1939	8	1426
USGS	14064500	00060	5	1939	9	1109
USGS	14064500	00060	5	1939	10	953.1
USGS	14064500	00060	5	1939	11	893.7
USGS	14064500	00060	5	1939	12	934.5
USGS	14064500	00060	5	1940	1	937.2
USGS	14064500	00060	5	1940	2	1006
USGS	14064500	00060	5	1940	3	1090
USGS	14064500	00060	5	1940	4	1158
USGS	14064500	00060	5	1940	5	1220
USGS	14064500	00060	5	1940	6	1393
USGS	14064500	00060	5	1940	7	1357
USGS	14064500	00060	5	1940	8	1126
USGS	14064500	00060	5	1940	9	1003
USGS	14064500	00060	5	1940	10	961.1
USGS	14064500	00060	5	1940	11	851.5
USGS	14064500	00060	5	1940	12	844.4
USGS	14064500	00060	5	1941	1	833.2
USGS	14064500	00060	5	1941	2	842.1
USGS	14064500	00060	5	1941	3	864.5
USGS	14064500	00060	5	1941	4	837.1
USGS	14064500	00060	5	1941	5	1078
USGS	14064500	00060	5	1941	6	1089
USGS	14064500	00060	5	1941	7	1110
USGS	14064500	00060	5	1941	8	930.5
USGS	14064500	00060	5	1941	9	850.3
USGS	14064500	00060	5	1941	10	830.0
USGS	14064500	00060	5	1941	11	782.7
USGS	14064500	00060	5	1941	12	842.8
USGS	14064500	00060	5	1942	1	782.3
USGS	14064500	00060	5	1942	2	810.1
USGS	14064500	00060	5	1942	3	829.2
USGS	14064500	00060	5	1942	4	927.3
USGS	14064500	00060	5	1942	5	963.5
USGS	14064500	00060	5	1942	6	1042
USGS	14064500	00060	5	1942	7	1313
USGS	14064500	00060	5	1942	8	1135
USGS	14064500	00060	5	1942	9	919.9
USGS	14064500	00060	5	1943	10	1574
USGS	14064500	00060	5	1943	11	1540
USGS	14064500	00060	5	1943	12	1360
USGS	14064500	00060	5	1944	1	1318
USGS	14064500	00060	5	1944	2	1231
USGS	14064500	00060	5	1944	3	1134
USGS	14064500	00060	5	1944	4	947.8
USGS	14064500	00060	5	1944	5	1271
USGS	14064500	00060	5	1944	6	1385
USGS	14064500	00060	5	1944	7	1489
USGS	14064500	00060	5	1944	8	1403
USGS	14064500	00060	5	1944	9	1256
USGS	14064500	00060	5	1944	10	995.8
USGS	14064500	00060	5	1944	11	698.9
USGS	14064500	00060	5	1944	12	686.9
USGS	14064500	00060	5	1945	1	723.3
USGS	14064500	00060	5	1945	2	742.4
USGS	14064500	00060	5	1945	3	642.4
